frame_idx,timestamp_s,cumulative_count,flow_rate_vpm,active_vehicles,density_category,traffic_condition
0,0.04,0,0.0,0,LOW,LOW
1,0.08,0,0.0,0,LOW,LOW
2,0.12,0,0.0,0,LOW,LOW
3,0.16,0,0.0,0,LOW,LOW
4,0.2,0,0.0,0,LOW,LOW
5,0.24,0,0.0,0,LOW,LOW
6,0.28,0,0.0,0,LOW,LOW
7,0.32,0,0.0,0,LOW,LOW
8,0.36,0,0.0,0,LOW,LOW
9,0.4,0,0.0,0,LOW,LOW
10,0.44,0,0.0,2,LOW,LOW
11,0.48,0,0.0,2,LOW,LOW
12,0.52,0,0.0,2,LOW,LOW
13,0.56,0,0.0,2,LOW,LOW
14,0.6,0,0.0,2,LOW,LOW
15,0.64,0,0.0,4,LOW,LOW
16,0.68,0,0.0,4,LOW,LOW
17,0.72,0,0.0,4,LOW,LOW
18,0.76,0,0.0,4,LOW,LOW
19,0.8,0,0.0,4,LOW,LOW
20,0.84,0,0.0,5,LOW,LOW
21,0.88,0,0.0,6,LOW,LOW
22,0.92,0,0.0,6,LOW,LOW
23,0.96,0,0.0,7,LOW,LOW
24,1.0,0,0.0,7,LOW,LOW
25,1.04,0,0.0,7,LOW,LOW
26,1.08,0,0.0,7,LOW,LOW
27,1.12,0,0.0,7,LOW,LOW
28,1.16,0,0.0,8,MODERATE,MODERATE
29,1.2,0,0.0,8,MODERATE,MODERATE
30,1.24,0,0.0,8,MODERATE,MODERATE
31,1.28,0,0.0,8,MODERATE,MODERATE
32,1.32,0,0.0,8,MODERATE,MODERATE
33,1.36,0,0.0,8,MODERATE,MODERATE
34,1.4,0,0.0,8,MODERATE,MODERATE
35,1.44,0,0.0,8,MODERATE,MODERATE
36,1.48,0,0.0,8,MODERATE,MODERATE
37,1.52,0,0.0,8,MODERATE,MODERATE
38,1.56,0,0.0,8,MODERATE,MODERATE
39,1.6,0,0.0,8,MODERATE,MODERATE
40,1.64,0,0.0,8,MODERATE,MODERATE
41,1.68,0,0.0,8,MODERATE,MODERATE
42,1.72,0,0.0,8,MODERATE,MODERATE
43,1.76,0,0.0,8,MODERATE,MODERATE
44,1.8,0,0.0,8,MODERATE,MODERATE
45,1.84,0,0.0,9,MODERATE,MODERATE
46,1.88,0,0.0,9,MODERATE,MODERATE
47,1.92,0,0.0,9,MODERATE,MODERATE
48,1.96,0,0.0,9,MODERATE,MODERATE
49,2.0,0,0.0,9,MODERATE,MODERATE
50,2.04,0,0.0,9,MODERATE,MODERATE
51,2.08,0,0.0,9,MODERATE,MODERATE
52,2.12,0,0.0,9,MODERATE,MODERATE
53,2.16,0,0.0,9,MODERATE,MODERATE
54,2.2,0,0.0,8,MODERATE,MODERATE
55,2.24,0,0.0,8,MODERATE,MODERATE
56,2.28,0,0.0,8,MODERATE,MODERATE
57,2.32,0,0.0,8,MODERATE,MODERATE
58,2.36,0,0.0,8,MODERATE,MODERATE
59,2.4,0,0.0,7,MODERATE,MODERATE
60,2.44,0,0.0,7,MODERATE,MODERATE
61,2.48,1,20.0,7,MODERATE,MODERATE
62,2.52,1,20.0,7,MODERATE,MODERATE
63,2.56,1,20.0,7,MODERATE,MODERATE
64,2.6,1,20.0,7,MODERATE,MODERATE
65,2.64,1,20.0,6,MODERATE,MODERATE
66,2.68,1,20.0,7,MODERATE,MODERATE
67,2.72,1,20.0,7,MODERATE,MODERATE
68,2.76,1,20.0,7,MODERATE,MODERATE
69,2.8,1,20.0,6,MODERATE,MODERATE
70,2.84,1,20.0,6,MODERATE,MODERATE
71,2.88,2,40.0,6,MODERATE,MODERATE
72,2.92,2,40.0,6,MODERATE,MODERATE
73,2.96,2,40.0,6,MODERATE,MODERATE
74,3.0,2,40.0,6,MODERATE,MODERATE
75,3.04,2,39.47,6,MODERATE,MODERATE
76,3.08,2,38.96,6,MODERATE,MODERATE
77,3.12,2,38.46,6,MODERATE,MODERATE
78,3.16,2,37.97,7,MODERATE,MODERATE
79,3.2,2,37.5,7,MODERATE,MODERATE
80,3.24,2,37.04,7,MODERATE,MODERATE
81,3.28,2,36.59,8,MODERATE,MODERATE
82,3.32,2,36.14,8,MODERATE,MODERATE
83,3.36,2,35.71,8,MODERATE,MODERATE
84,3.4,2,35.29,8,MODERATE,MODERATE
85,3.44,2,34.88,8,MODERATE,MODERATE
86,3.48,2,34.48,8,MODERATE,MODERATE
87,3.52,2,34.09,8,MODERATE,MODERATE
88,3.56,2,33.71,8,MODERATE,MODERATE
89,3.6,2,33.33,8,MODERATE,MODERATE
90,3.64,2,32.97,8,MODERATE,MODERATE
91,3.68,2,32.61,8,MODERATE,MODERATE
92,3.72,2,32.26,8,MODERATE,MODERATE
93,3.76,2,31.91,8,MODERATE,MODERATE
94,3.8,2,31.58,8,MODERATE,MODERATE
95,3.84,2,31.25,8,MODERATE,MODERATE
96,3.88,2,30.93,8,MODERATE,MODERATE
97,3.92,2,30.61,8,MODERATE,MODERATE
98,3.96,2,30.3,8,MODERATE,MODERATE
99,4.0,2,30.0,8,MODERATE,MODERATE
100,4.04,2,29.7,8,MODERATE,MODERATE
101,4.08,2,29.41,8,MODERATE,MODERATE
102,4.12,3,43.69,8,MODERATE,MODERATE
103,4.16,3,43.27,8,MODERATE,MODERATE
104,4.2,3,42.86,8,MODERATE,MODERATE
105,4.24,3,42.45,9,MODERATE,MODERATE
106,4.28,3,42.06,9,MODERATE,MODERATE
107,4.32,3,41.67,8,MODERATE,MODERATE
108,4.36,3,41.28,8,MODERATE,MODERATE
109,4.4,3,40.91,8,MODERATE,MODERATE
110,4.44,3,40.54,8,MODERATE,MODERATE
111,4.48,3,40.18,8,MODERATE,MODERATE
112,4.52,3,39.82,8,MODERATE,MODERATE
113,4.56,3,39.47,8,MODERATE,MODERATE
114,4.6,3,39.13,9,MODERATE,MODERATE
115,4.64,3,38.79,9,MODERATE,MODERATE
116,4.68,3,38.46,9,MODERATE,MODERATE
117,4.72,3,38.14,9,MODERATE,MODERATE
118,4.76,3,37.82,9,MODERATE,MODERATE
119,4.8,3,37.5,9,MODERATE,MODERATE
120,4.84,3,37.19,9,MODERATE,MODERATE
121,4.88,3,36.89,9,MODERATE,MODERATE
122,4.92,4,48.78,9,MODERATE,MODERATE
123,4.96,4,48.39,9,MODERATE,MODERATE
124,5.0,4,48.0,9,MODERATE,MODERATE
125,5.04,4,47.62,8,MODERATE,MODERATE
126,5.08,4,47.24,8,MODERATE,MODERATE
127,5.12,5,58.59,8,MODERATE,MODERATE
128,5.16,5,58.14,8,MODERATE,MODERATE
129,5.2,5,57.69,8,MODERATE,MODERATE
130,5.24,5,57.25,8,MODERATE,MODERATE
131,5.28,5,56.82,8,MODERATE,MODERATE
132,5.32,5,56.39,8,MODERATE,MODERATE
133,5.36,5,55.97,6,MODERATE,MODERATE
134,5.4,5,55.56,6,MODERATE,MODERATE
135,5.44,5,55.15,6,MODERATE,MODERATE
136,5.48,5,54.74,6,MODERATE,MODERATE
137,5.52,5,54.35,6,MODERATE,MODERATE
138,5.56,5,53.96,6,MODERATE,MODERATE
139,5.6,5,53.57,6,MODERATE,MODERATE
140,5.64,5,53.19,6,MODERATE,MODERATE
